Name,Description
Star Wars R2-D2 Heart Crossbody Bag,"Put a little droid on your heart
			
		
		You know how you can love something so hard, it may as well be imprinted on your heart? Well, this crazy lil' astromech droid has had us swooning for forty (GASP!) years - seeing Artoo splashed across a heart just seems natural at this point! Now you can sling him across your shoulder, show off your love, and have a place to stash your wallet to boot.This sturdy little bag is made from faux leather (no Wookiees harmed!) with printed and appliqué details to recreate that iconic R2-D2 look. Wear it however you feel comfortable with the adjustable shoulder strap, and fill it with all your necessities: money, keys, cosmetics, dire messages, or stolen plans. Whatever you need to carry, this is definitely the droid you're looking for!Product SpecificationsStar Wars R2-D2 Heart Crossbody bagOfficially-licensed Star Wars merchandiseFrom our friends at LoungeflyAdjustable shoulder strapTop zip closureFully lined interiorCapacity: known to hold stolen plans and occasional requests for helpMaterials: Faux leather, because Artoo would never hurt a WookieeCare Instructions: Spot clean with a damp cloth and mild detergent ImportedDimensions: 8.5"" wide x 7.3"" tall x 2"" deep"
Rugrats TV Crossbody Purse,"What a Baby's Gotta Carry
			
		
		When you're young, you don't have much you need to carry around. The grownups take care of providing you with most everything, and you can get away with carrying absolutely nothing - except, maybe, a handy toy screwdriver in your diapee. Never know when that might come in handy!If you're all growed up with 'sponsatilities now, you've got more to carry around. But don't worry - your friends Tommy, Chuckie, Phil, Lil, Susie, Kimi, Dil, and, uh... Angelica we guess, will always be there for you! Carry them around wherever your adventures take you, with this glittery crossbody purse from Danielle Nicole. There's plenty of room inside for your everyday essentials including, yes, your toy screwdriver."
Betsey Johnson Love Machine Crossbody Purse,"Have you heard about our robot friend?
			
		
		Everyone's always worried about the day computers gain sentience and take over the planet, but admit it - deep inside we're all a little excited to meet our future robot overlords. And while it may seem like some distant future, that doesn't mean you can't start getting in good with them now! This sweet little Betsey Johnson purse is ready to be your robot companion, and it totally will not ever rise up in a bid for world domination!How can we tell? A 'bot with a bow on its head can't be nefarious, can it? Made of gold metallic faux leather, this purse has big black crystal eyes and a circuit board heart. The boxy torso has nailhead stud decorations, and unzips to reveal a main compartment that's fully lined in custom rosebud fabric. Gold-tone beaded arms give this bag a sense of motion, while the crossbody chain link strap keeps it secure. Keep this cyber darling at your hip at all times so that when the robots do stage their inevitable uprising, they'll know you're a friend! Product SpecificationsBetsey Johnson Love Machine Crossbody PurseMetallic gold robot-shaped purse with a bow on its headBoxy torso holds the zipped main compartmentFully lined with custom rosebud fabricDetails include black crystal eyes, nailhead studs, beaded arms, and a circuit board heartPerfect for people looking to get in good with our coming robot overlords!Capacity: your most necessary of necessitiesMaterials: faux leather with metal hardwareCare Instructions: Don't get on its bad side...Crossbody chain is 52"" longDimensions: 9"" tall x 5"" wide x 2 1/2"" deep"
Betsey Johnson Gimme Some Space Crossbody Purse,"Truly out of this world!
			
		
		""Houston - we have a purse!"" Said no one at NASA, ever. It's okay, though - they get to play with gigantic rockets, and the rest of us have to settle for little ones. Which is why we're over the moon about this darling little Betsey Johnson bag, styled like a retro spaceship!Even certified rocket scientists can appreciate the clever application of black glitter on the fins and pointed nose cone of this purse. It creates a sparkly contrast with the metallic silver surface, which is quilted with tiny metal studs. Instead of jet flames, the bottom of the rocket features dangling chain strands to give the whole bag a sense of motion. The shoulder strap is another, larger metal chain, because it takes some serious hardware to hold onto a rocket. On the side a zipper opens the main compartment, which lined with custom rosebud fabric. Blast off to adventure with this sweet little ship at your hip, and show everyone what a badas...tronaut you are!Product SpecificationsBetsey Johnson Gimme Some Space Crossbody PurseShaped like a retro rocketshipBlack glitter on the nose cone and finsBody is quilted metallic silver with metal studsDangling chains mimic the engine flamesZipper compartment fully lined in rosebud fabricThe perfect statement purse for your next intergalactic tourCapacity: Only pack your necessitiesMaterials: faux leather with metal hardwareCare Instructions: 51"" chain strapDimensions: 9"" tall x 6"" wide x 3"" deep"
Gudetama Vegan Leather Tote with Coin Bag,"Don't put all your eggs in one tote bag
			
		
		Actually, don't put any eggs in tote bags. Tote bags are really not the ideal way to transport breakables.You know, if it weren't for you, Gudetama wouldn't go out at all, so it's a good thing he's on this tote bag. You know when the weather's beautiful out, but you're all, ""meh,"" but you have to go out for something, and then you perk up as soon as you set foot outside and breathe in the fresh air? Yeah. That's probably not going to work in this case, but good luck with that.This canvas bag features the embroidered face of Gudetama and his little arms reaching out of a white faux leather shell. He's even sunny side up on the included coin pouch. ""Sunny"" being a relative term.Product SpecificationsGudetama Vegan Leather Tote with Coin BagOfficially-licensed Sanrio merchandise From LoungeflyFeatures white faux pebbled leather shell with embroidered Gudetama face Gudetama sunny side up coin purse with top zipper clips in placeYellow and white ""polka dot"" pattern inside (some of the dots are eggs)Inside pocketMaterials: Canvas and simulated leather Care Instructions: Spot clean with a damp cloth and mild detergentImportedDimensions: 15 1/2"" wide x 18 1/4"" tall x 3"" deep tote, 5"" across coin purseWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Binary Code Tote Bag,"Totes Practical
			
		
		Bikinis don't work for everybody. You guys let us know. So we took our pattern from the Circuit Board Two-Piece Swimsuit and stuck it on a tote bag. Because tote bags work for almost everybody. And everybody could use more carrying capacity, right?Toss your sunscreen, towel, and book into this Binary Code Tote Bag and hit the beach. Or keep it in your vehicle for when you're out and you need a bag at the grocery store or one of those stores that doesn't believe in baskets and only provides carts. What is up with that? We do not need a 4-wheeled vehicle for our stationery and chili lime pistachios, Home Goods. But we do need a Binary Code Tote Bag. Pretty sure.Product SpecificationsBinary Code Tote Bag A ThinkGeek creation & exclusive Black with grey and white circuits and chips and binary that spells out ""love""Great to take to the beach (or for shopping or whatever)Double handles have 10"" drop Materials: 100% cottonCare Instructions: Spot clean with a damp cloth and mild detergent Imported Dimensions: 13"" tall x 20"" wide with a 4"" gusset"
Hello Kitty Bus Crossbody Purse,"Hello Kitty Xing
			
		
		The cuteness on the bus goes 'round and 'round… Hello Kitty is driving this red bus to wherever her fellow Sanrio passengers want to go! Along for the ride are Bad Badtz-Maru, Pom Pom Purin, Hangyodon, DokidokiYummychums, My Melody, Chococat, Kero Kero Keroppi, and Little Twin Stars. Chococat is busy reading, however, and isn't taking in the sights. But everyone else is excited to be on the bus. Except maybe Bad Badtz-Maru. He's rolling his eyes a bit. As usual. If you love Sanrio characters, this versatile faux leather purse makes it easy to follow Hello Kitty's adventurous spirit every day. Its roomy interior can hold everything you need, whether you're going to school, work, shopping, or on vacation! Beep, beep! From the Hello Kitty Sanrio line, and made by Loungefly.Product SpecificationsHello Kitty Bus Crossbody PurseOfficially-licensed Hello Kitty merchandiseRoomy bag holds plenty of purse items, and/or Sanrio toysFor all ages of Sanrio character loversPerfect for parents picking their kids up from schoolOr for the kids who are being picked upZipper closure on topFront of bus has a zipper pocketRemovable crossbody strapGrab handleMaterials: Faux leather with printed, debossed, and applique detailsDimensions: 11"" wide x 6 1/2"" high x 5 1/2"" deep"
Hello Kitty House Tote Bag,"Whose House? Kitty's House!
			
		
		When you visit London, England, and you catch the whiff of Mama's apple pie in the air, you'll know that you're getting close to Kitty White's house! The whole White family will be happy to receive you, because friends are always welcome to visit in this house. Can we find you someplace to put your bag?Oh, guess that won't be necessary, because your bag is Hello Kitty's house! With this Hello Kitty House Tote Bag, you can carry the entire White family and some of their friends around with you, wherever you go. Made from vegan faux leather, printed and debossed applique details from the outside of Hello Kitty's house, with her family and friends peeking out at your from the windows. Use it to carry a gift for your hosts when you go a'visiting, because that's only proper when you always get such a warm reception!Product SpecificationsHello Kitty House Tote BagOfficially-licensed Sanrio merchandisePerfect gift for the friend who always makes you feel at homeTwo tote handlesTop zips closed Red and black Sanrio character print liningInterior has one open pocket and one zipped pocketMaterials: Vegan faux (PU) leatherDimensions: 13"" high x 13"" wide x 4"" deep7 1/2"" drop on double handles"
Star Wars: The Force Awakens Purses,"Let's go out to the lobby...
Some folks change purses every day to match their outfit. That's just more effort than we can muster. We prefer to match our purses to the occasion, which is sometimes practical and sometimes fanciful. There's a specific crossbody purse for outdoor events where our hands need to be free. There's a special purse for going someplace where the temperature is likely to fluctuate, so we need to be able to stuff some layers away. And now there's a purse for watching Star Wars: The Force Awakens. Styled like BB-8 or Captain Phasma, these purses from Loungefly are guaranteed to be a hit at the box office this holiday. They're SHINY, in both the Firefly sense and the literal sense, made from faux patent leather. They're rigid and moderately spacious with a wide flat base, perfect for hiding that box of Sno-Caps under your wallet and phone. They have feet on the bottom, which keeps them from sticking to the movie theater floor. And they have a double-zipper closure for ease of access to your tissues, just in case.  Product Specifications    Star Wars Force Awakens Purses Officially-licensed Star Wars: The Force Awakens merchandise  Choose BB-8 or Captain Phasma Patent-look simulated leather with embossed details Double handles have 3"" drop Lining has subtle tone-on-tone Star Wars logo - grey on BB-8, black on Phasma 2 interior pouches (1 with a zipper closure) Double-zipper closure on main compartment Chrome feet on bottom for longevity Ships in a protective Star Wars bag Materials: Simulated leather (PVC & nylon) with polyester lining Care Instructions: Spot clean with a damp cloth and mild detergent  Imported  Exterior Dimensions: 9 1/2"" wide x 8"" tall x 5"" deep Interior Dimensions: 9"" wide x 8"" tall at apex x 4 1/2"" deep  Weight: 1 lb. WARNING - ENTANGLEMENT HAZARD - Keep away from very young children. Do not place around neck. (How you would get the handle around your neck, we're not sure, but we're going with what the manufacturer said to be safe.)"
Navy Blue Sea Creatures Tote Bag,"Totes Splashy
			
		
		Bikinis don't work for everybody. You guys let us know. So we took our pattern from the Deep Sea Creatures Two-Piece Swimsuit and stuck it on a tote bag. Because tote bags work for almost everybody. And everybody could use more carrying capacity, right?Toss your sunscreen, towel, and book into this Navy Blue Sea Creatures Tote Bag and hit the beach. Or keep it in your vehicle for when you're out and you need a bag at the grocery store or one of those stores that doesn't believe in baskets and only provides carts. What is up with that? We do not need a 4-wheeled vehicle for our stationery and chili lime pistachios, Home Goods. But we do need a Navy Blue Sea Creatures Tote Bag. Pretty sure.Product SpecificationsNavy Blue Sea Creatures Tote BagA ThinkGeek creation & exclusive Complete with Amphiodia urtica (brittle star)Anoplogaster cornuta (common fangtooth)Chascanopsetta prorigera (flatfish)Crossota millsae (deep-sea jellyfish)Mastigoteuthis magna (whip-lash squid)Melanocetus eustalus (anglerfish)Munidopsis andamanica (type of lobster)Nautilus pompilius (nautilus)Paragorgia arborea (bubblegum coral)Eurypharynx pelecanoides (pelican eel)Great to take to the beach (or for shopping or whatever)Double handles have 10"" drop Materials: 100% cottonCare Instructions: Spot clean with a damp cloth and mild detergent Imported Dimensions: 13"" tall x 20"" wide with a 4"" gussetNote that we've got the Eurypharynx pelecanoides (pelican eel) mislabeled as a fangtooth cause we like them so gosh dang much"
Star Wars R2-D2 & BB-8 Two-Sided Faux Leather Tote Bag,"1 Droid, 2 Droid. Old Droid, New Droid
			
		
		Out with the old and in with the new? Not in this galaxy far, far away. Droids stay in commission for years and years, even after seeing heavy use in multiple skirmishes and even having to be rebuilt a few times. Even if a droid goes into low power mode and just sits there like a lump, how could you ever bring yourself to put it on the scrap heap after all the galaxy-saving it's done? But then again, there's this new model that's pretty useful, and cute...You don't have to decide between R2-D2 and BB-8! You can have your classic droid and your new droid together in harmony, on opposite sides of this faux leather tote bag. Feeling old school? Flip it around so that everyone can see the original plucky droid. Want something fresh? Flip it to the BB-8 side. You really can't go wrong either way, with printed, debossed, and applique details of each droid on the outside of this bag. Either one is really good at carrying secret plans and maps, so load up with lined interior with any secret information you need to carry. They'll keep it safe and help you get it where it needs to go, after a few space battles anyway.Product SpecificationsStar Wars R2-D2 & BB-8 Two-Sided Faux Leather Tote BagOfficially-licensed Star Wars merchandiseFaux leather tote purse featuring R2-D2 on one side, BB-8 on the otherMade by our friends at LoungeflyLarge open interior compartmentSmall open pocket on inside, small zipper pocket on opposite wall insideInterior lined with black fabric with R2-D2 and BB-8 hearts patternMagnetic metal clasp closureTwo straps with 9"" dropMaterials: Vegan faux (PU) leatherExterior Dimensions: 16 1/2"" wide x 13 1/2"" tall x 5"" deepInterior Dimensions: 16 1/2"" wide x 11 1/2"" tall x 5"" deep (if you want the snap to work)  ""Will my laptop fit in this bag, ThinkGeek?"" Let's find out together!     Laptop fitting guide    Measure your laptop. Like TVs, laptops are listed by their measurement on the diagonal. Bags, on the other hand, are measured on the edges. Not all 17"" laptops are the same size, so you'll need to measure the length & width of your closed laptop.  ""But my laptop is at home, ThinkGeek!"" If you can't wait, Google has superpowers to tell you the dimensions of your laptop if you ask it nicely. Just input the make and model of your laptop and ye shall receive.  ""I've got the measurements! Now what?"" Compare your laptop's measurements to the measurements of the bag. If the laptop's measurements are smaller than the bag, it fits! If one or more of the laptop's measurements are bigger, you're out of luck with this bag. Try another."
Dog House Purse,"You've got style in the bag
			
		
		When someone's ""in the doghouse,"" they're usually in trouble. Obviously, it must not have been this doghouse they were referring to, because this one is fab-u-lous! We would love to be in this one any day. As soon as we find our shrink ray. Maybe the merchant closet? *wanders off to look*This Dog House Purse from the mad geniuses at Irregular Choice is currently a ThinkGeek exclusive. If it were a real house, the sparkle could probably be seen from space and it would definitely violate all the homeowners' association by-laws. We're not sure why they called it a ""dog house,"" because although there's an adorable corgi looking out the window as if to greet you, there's also a grey and white cat, asleep in the opposite window, presumably absorbing a sunbeam to power those 3 a.m. crazies."
Gummy Vandal Clutch,"In Beary Blue
			
		
		Street artist WhisBe (short for ""What is Beautiful"") created his Vandal Gummy series of gummy bear mug shots to make people think about innocence lost and question, ""Well, what did the gummy bear do?"" Of course, we also look and think, ""Mmm... gummy bears... where can I get a bag of gummy bears right now?""Throw some cash or cards into this clutch and bounce on down to your local gummy vendor to pick up some of the chubby, chewy little bears. The pop art design kinda reminds us of a certain internet Flash series from the early 2000s (the one that wasn't for small children or big babies). In bright berry blue with the lightning bolt tribute to David Bowie from the art piece, it's got room inside for your everyday essentials (and maybe a few of those delectable gummy treats). A detachable wrist strap keeps it close it hand when you need a little sugary pick-me-up, with a cool crystal shaped zipper pull because Bowie has to have his glam. Product SpecificationsGummy Vandal ClutchBear-shaped wristlet clutch with David Bowie tributeZipper closure with custom crystal-shaped zipper pullDetachable wrist strap with lobster claspDimensions: 8.75"" x 7.1"" x 0.9"" thick"
Thor's Hammer Wristlet,"You're Worth It
			
		
		We can think of lots of handy safety features to keep someone from stealing your bag: maybe an alarm that sounds if your bag gets too far away from your person. Or an electric shock when an unauthorized individual picks up the bag. But better than that would be a bag that no one can even pick up in the first place, if they are not *worthy*.If you are feeling worthy, you'll want to pick up this Thor's Hammer Wristlet for yourself. The zippered compartment has just enough space for the essentials you want to take into battle. The wrist strap and faux leather handle make it convenient and, let's face it, fun to carry. So fun in fact, that you can use it as a test: some guy still doesn't want to be seen holding your bag for you, when your bag is Thor's friggin' hammer? Oh, he is SO not worthy.Product SpecificationsThor's Hammer WristletOfficially-licensed Marvel merchandiseA ThinkGeek exclusive from our friends at LoungeflyThor's hammer bag with handle and wrist strapPerfect gift for someone who is worthy1 pocket interior, lined with Marvel logo fabricZipper closure with Loungefly zipper pullMaterials: All new materials. Polyurethane foam. Dimensions:Entire hammer: approximately 12"" tallHammer pocket: approximately 8"" wide x 6"" deepWrist strap: approximately 5 1/2"" diameter"
Disney Mickey Suit Faux Leather Mini Backpack,"Oh, Boy!
			
		
		From our earliest days watching cartoons, to palling around with King Mickey in the worlds of Kingdom Hearts, we've always had a friend in this very special mouse. Adventurous, optimistic, and a friend to everyone big and small, we're always happy to know that Mickey always has our backs.M-I-C-K-E-Y M-O-U-S-E! Keep this lifelong pal at your side (or rather, slung over your shoulders) with this faux leather mini backpack featuring the unmistakable details of the classic Disney mouse. With big Mickey ears at the top, it has a front zippered pocket in red like his shorts with applique button patches and a zipper charm of his classic white glove. It comes in soft, touchable faux leather with a Saffiano crosshatch texture, and there's just enough room inside for the essentials, like your phone and a talking cricket to help you sort out right from wrong.Product Specifications Disney Mickey Suit Faux Leather Mini BackpackOfficially-licensed Disney merchandiseFaux leather mini backpack with Mickey Mouse detailsMade by our friends at LoungeflyTwo round black Mickey ears on topRed zippered front pocket with white applique ""button"" patchesFaux leather Mickey glove charm on a ball chainSaffiano crosshatch textureZippered top closureMaterials: Vegan faux leatherDimensions: 10"" high x 9"" wide x 4 1/2"" deepWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Doctor Who TARDIS and Flowers Handbag,"Five billion years and it still comes down to money
			
		
		When we were little, we were so jealous of the kids who got to have a toy store shopping spree on TV. It would be so awesome to have unlimited money (even with limited time to spend it). We wonder if the Doctor ever uses his psychic paper as a credit card... or maybe he just makes savvy investments in the stock market. That's a unique anomaly called ""Bigger on the Insider Trading.""If you're still dealing with real money like we are, perhaps you need a snazzy way to bring it with you. How about this Doctor Who TARDIS and Flowers Handbag? It features a floral TARDIS design on the outside, plus double handles and a removable shoulder strap for versatility. After all, this regeneration you might enjoy a different style of purse than the last. It's good to have options.Product Specifications Doctor Who TARDIS and Flowers HandbagOfficially-licensed Doctor Who merchandise From our friends at LoungeflyFloral pattern with TARDISes sprinkled throughoutRemovable shoulder strap adjusts from 11-24"" dropDouble handles have 5"" dropInterior zipped pocket and open pocketTop zip closureDW-logo shaped rivetsMaterials: Faux leatherCare Instructions: Spot clean with a damp cloth and mild detergent ImportedDimensions: 11 1/2"" long x 9"" tall x 5"" deepWARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Disney Belle Debossed Faux Leather Purse ,"This bag's a true Beauty
			
		
		It's a tale as old as time. You need a purse that's big enough to hold all of your necessities (BOOKS). It needs to be cruelty-free and unique. And most of all, it needs to be a real beauty - but still haul things like a beast. It might seem impossible to find that perfect bag you can love forever, but we think we can help. Be our guest and try this gorgeous Beauty and the Beast-inspired purse by Loungefly! This ivory satchel has a debossed design featuring Belle's face on the front, along with a brilliant red rose hanging from the handle. The outside may be pretty, but true beauty is found within. Specifically within that fully-lined interior, featuring beautiful custom floral fabric! There is a zippered divider pouch separating the interior into two compartments, with a small zip pocket and a small open pocket built into the lining. Made of simulated leather, the purse closes with a top strap and has both handles and an adjustable, removable shoulder strap. Lovely and versatile, this purse may be your happily ever after. No Gastons allowed! Product SpecificationsDisney Belle Debossed Faux Leather PurseOfficially-licensed Disney's animated Beauty and the Beast merchandiseMade by our friends at LoungeflyIvory satchel with debossed design featuring Belle's face on the frontA red rose hangs from the strapPurse closes with a top strap, secured by a magnetic snapFully-lined interior features custom floral fabricInterior: two compartments with zippered divider pouch, plus a small zip pocket and small open pocket built into the lining Materials: simulated leather with gold-tone metal hardwareRemovable, adjustable shoulder strap Dimensions: approx 11 1/5"" wide x 9 1/2"" tall x 6"" deep (bag) / approx. 4"" diameter x 1 1/5"" thick with a 4 1/2"" strap (decorative rose)"
Game of Thrones Drogon Purse,"""Dracarys.""

And what lesson can we draw from Volantene history?
If you want to conquer the world, you best have dragons.
- George R.R. Martin, A Dance with Dragons 
You may not be Daenerys Stormborn of House Targaryen, the Unburnt, Mother of Dragons, khaleesi to Drogo's riders, and queen of the Seven Kingdoms of Westeros, but that doesn't mean you don't have your own plans for world domination. Keep them safe and sound, sheltered under the wing of a dragon in this purse. Designed by our friends at Crowded Coop, this Game of Thrones Drogon Purse is a ThinkGeek exclusive. The flap is a dragon wing. The outside looks like dragon skin, too, only it's faux leather - no dragons were harmed in the creation of this bag. We promise. It even comes complete with spiky tail. The lining looks like the pattern you'd find on a Valyrian steel blade. It basically roars your fierceness. This is not a bag for the faint of heart."
Captain Marvel Sash Purse,"Versatility in action
			
		
		Avengers. A-Force. Ultimates. Captain Marvel has a knack for spreading herself thin across a lot of teams - and that's not counting her time as Ms. Marvel, Warbird, or Binary. Whether you're travelling across town or across space, going shopping or going toe-to-toe with Tony Stark, anyone who is on the run as much as Carol knows the importance of having accessories that can keep up.This Captain Marvel purse is durable and versatile enough for any major event or solo adventure. It has double handles and a removeable shoulder strap which adjusts to fit crossbody, in case you need to keep your hands free. Inside there is an open pocket and a zip pocket to keep your necessities organized, because the Carol Corps are always prepared. Made of cruelty-free simulated leather, the bag recreates Carol's iconic blue, red and gold costume look, down to the appliqué gold stripes and starburst emblem. The handles are attached with custom starburst rivets, and the interior is fully lined in red with a blue star pattern as well. You certainly won't need to go to space to see stars everyday! Though obviously if you get a chance to go to space, you should take it - just fill this bag with that astronaut ice cream stuff and enjoy yourself!Product SpecificationsCaptain Marvel Sash PurseOfficially-licensed Marvel merchandiseFrom our friends at LoungeflyTop zip closureCustom starburst rivets at the handlesFully lined in red with custom blue starburst pattern Interior zip pocket and open pocketMaterials: simulated leather (all faux, no hawk)Care Instructions: Wipe clean with damp clothDimensions: 16"" wide (at top)/12"" wide (at base) x 10"" tall x 6"" deepRemovable shoulder strap adjusts from 12"" to 22"" dropDouble handles have 6 1/2"" drop WARNING - ENTANGLEMENT HAZARD. Keep away from very young children. Do not place around neck."
Harry Potter House Cufflinks,"50 points to Slyffvenuff
			
		
		They don't show it on screen during the movies or talk about it in the books, but at Hogwarts after the Sorting Hat puts you in a House, you get your complimentary cufflinks to go along with it. It should have made it into the deleted scenes at the very least, right?Represent your House with the Harry Potter House Cufflinks. Make sure everyone knows the best House at every elegant social outing that you're a part of. Hint - the best one is clearly the House you're in.    Product SpecificationsHarry Potter House CufflinksOfficially-licensed Harry Potter merchandiseA ThinkGeek exclusiveCufflinks featuring animals of all the Hogwarts HousesGryffindor lionSlytherin snakeHufflepuff badgerRavenclaw raven (like the movies)Perfect for the Yule Ball... or any other fancy occasion you can think ofFixed back with HP initials on the backMaterials: Brass and enamelCare Instructions: Spot clean with damp cloth"
Star Wars I Love You / I Know Cufflinks,"Perfect for the Han in your life
Because, as much as Lucas may have thought he understood him, Han never would have said, ""I love you, too,"" as the scene was originally scripted. Everybody's got a smuggler/princess combination in their lives. Your Beatrice and Benedick who are too busy being sharp-tongued and witty at each other to realize they're perfect for one another (although the chemistry is obvious to everyone observing). Or maybe you ARE that couple. Once that couple realizes they belong together, this cufflink set is great tribute to their romance. The pair features one cufflink with Leia's picture and the words, ""I LOVE YOU."" and the other cufflink with Han's picture and the words, ""I KNOW."" It's romantic and sassy and perfect for that couple, whether you know them or are them. Product Specifications    Pair of cufflinks with Han and Leia's pictures and their iconic interaction: ""I love you"" / ""I know"" Officially-licensed merchandise from Lucasfilm Fixed-back closure (Star Wars logo)  Comes in a Star Wars box Materials: Rhodium-plated base metal with enamel Dimensions: 3/4"" square"
Harry Potter Crest Jacquard Ties ,"When Harry Means Business
			
		
		It has been nearly 20 years since the Harry Potter books first arrived on the scene. Maybe you were 10 years old when you discovered their magic. You went to the release of the second book fully dressed with spectacles, a lightning scar, and a Gryffindor scarf waving in the wind. Well, unfortunately, that would mean you are pushing 30 now, and displaying your Potter fandom with such exuberance may no longer be ""socially acceptable.""These Harry Potter Crest Jacquard Ties gives even the biggest Potter fan a subtle way to say that Harry hasn't lost his appeal. Choose a 100% silk tie with either Gryffindor, Slytherin, Ravenclaw, or Hufflepuff crest and colors. Product Specifications Harry Potter Crest Jacquard TiesOfficially-licensed Harry Potter merchandise A ThinkGeek exclusiveChoose Gryffindor, Slytherin, Ravenclaw, or Hufflepuff crest and colors(Yes, the Ravenclaw is the movie version with a raven - we knew you smarties would ask!)Says ""I'm a Harry Potter fan, but I also mean business.""Materials: 100% silkCare Instructions: Do not wash. Do not machine dry.ImportedDimensions: 60"" long x 3 1/4"" wide at maximum"
"Thor Ragnarok Money Clip, Tie Bar, and Cufflink Set","Asgard is dead... and it will be reborn in a stylish new image
			
		
		Maybe Asgard wouldn't have to worry about constant threat of invasion if it wasn't such a cool place. Ever think about that, Thor? Just bring Asgard down the ladder a little bit on the ""hottest destination wedding locations"" list and the rest will sort itself out. No? Well, we tried. But if you're going to still have your fancy dress up parties there, you might as well look the part.Asgard isn't about guts and glory 100% of the time. More like 95%. For those times you need to attend a kingly feast or any other grand occasion we recommend wearing your godly best. With cufflinks, a tie-bar, and money clip fit for a thunder god, these items are sure to make you stand out from the crowd. Note - these are not meant to withstand gladiatorial combat with the Hulk. Honestly, nothing is.Product Specifications Thor Ragnarok Money Clip, Tie Bar, and Cufflink SetOfficially-licensed Marvel Comics merchandiseA ThinkGeek exclusiveMoney clip, tie bar, and cufflink set featuring iconic props from the movieMoney clip is Thor's shield, tie bar is one of Thor's dual swords, and the cufflinks are the legendary MjölnirMaterials: MetalDimensions:Tie-bar: 2"" longMoney clip: 2"" longCufflinks: 1"" long"
Chewbacca Tie,"Put Some Hair on Your Chest
I suggest a new strategy, R2. Let the Wookiee win. - C-3PO If there's one thing you can beat a Wookiee at, it's fashion. The bandolier is stylish, but it doesn't take an advanced degree to see that Chewbacca's favorite bit of clothing was his birthday suit. But here to celebrate your love for the Wookiee-fur is this Chewbacca tie. Made out of fine 100% silk and patterned after the big guy's fur, you'll have the party roaring in no time.  Note: Favorite knots for this tie include the ""Bowcaster,"" the Fuzzball,"" and the ""RRRAARRWHHGWWR."" Product Specifications Chewbacca TieOfficially-licensed Star Wars merchandiseA ThinkGeek exclusivePatterned like brown fur Keeper on backMaterials: 100% silkDimensions: 3"" wide at widest x 58"" long"
Thor Glow-In-The-Dark Cufflinks,"Are You Worthy?
			
		
		Whether we've studied, planned, worked, wooed, or wined and dined, there comes a time in our lives when we have to put our knowledge and skills into action. When it's time to present that portfolio, to get that promotion, or propose on one knee, the LAST thing we want to think about is our French cuffs coming undone. That's why we present to you the Thor Glow-In-The-Dark Cufflinks. The fixed-back will hold any shirtsleeves securely, and the glowing means the wearer is worthy. Right? Product Specifications Thor Glow-In-The-Dark CufflinksOfficially-licensed Marvel merchandiseA ThinkGeek exclusive Lightning glows in the dark Perfect for the savvy dresser and worthy warrior alike Dimensions: 3/4"" diameter face"
Spider-Man Black Matte Cufflinks,"Go web, go!
			
		
		With a flick of his wrist, Spider-Man could send sticky, super-strong web shooting out to trap his enemies, or to propel himself across New York. These will not do that. (#SadFeels) There is no mutant spider venom included. However, the Spider-Man Black Matte Cufflinks will allow you to take your geeky pride into a semi-formal or formal occasion. These fixed-back cufflinks with an enamel Spidey-head will give you subtle geek cred while allowing you to maintain the integrity of your French cuffs. You'll get compliments from people who notice details, and you may make new Marvel Comic Universe fan-friends in unexpected places. Product SpecificationsSpider-Man Black Matte CufflinksOfficially-licensed Spider-Man merchandiseA ThinkGeek exclusive Black enamel designFixed back with Marvel logo Perfect gift for the classy and stealthy Marvel fan Comes in a box suitable for giftingMaterials: Base metal and enamel"
Superman Silhouette Gold Cufflinks - Exclusive,"Man of Gold
			
		
		What if instead of the Man of Steel, Superman was really the Man of Gold? (Okay, okay, we know that he does turn gold in the 853rd century, but that's a ways off from now, isn't it?) At 225 pounds, as Superman famously stately his weight in an interview with Daily Planet reporter Lois Lane, that would make him worth about $4.3 million (USD) today. But only if you could manage to melt him down and sell him, which might be a little tricky, given those laser eyes of his.Better idea: honor Kal-El with these gold-colored cufflinks featuring his silhouette. With a matte black background and red enamel for his insignia and cape, they come with fixed-back closures featuring the DC Comics logo. All in an attractive box, suitable for gifting. The perfect gift for the superhero in your life and only available from ThinkGeek!Product Specifications Superman Silhouette Gold Cufflinks - ExclusiveOfficially-licensed DC Comics merchandiseA ThinkGeek exclusivePerfect gift for the superhero in your lifeGold-colored cufflinks with matte black and red enamelFixed-back closure features the DC Comics logoComes in attractive gift box"
Deadpool Bomb Cufflinks,"Ka-boom!
			
		
		Deadpool can clean up pretty well when he feels like it, but most of the times he likes to use the path of least resistance which happens to be the messiest option (surely that's just a coincidence, right?). Bombs, guns, swords - those are the messy options. And messy options make Deadpool happy. Note the smiley face.Become the anti-hero gentleman you were meant to be with these Deadpool Bomb Cufflinks. Cufflinks are themed in a cartoonish bomb design with a happy little Deadpool face on the side for the personal touch."
